Site_name,Site_location,Site_code,Replicate,Sieve_size_mm,Condition,Species_code,Species_name,Abundance
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX55,Corbula gibba,8
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MGN1,Nassarius nigellus,2
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX14,Channelaxinus adelaideanus,2
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX27,Plectodon brazieri,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX55,Corbula gibba,8
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX26,Theora lubrica,4
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MGX57,Maoricolpus roseus,4
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX14,Channelaxinus adelaideanus,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1,Live,MGX30,#N/A,0
